,listing__statPrice,product-subtitle,Model,Box,Papers,Age,Movement,ConditionGrade,CaseSize,Case,Dial,Bracelet,LOT,Location,Seller
0,11923.9872,Datejust36,126234,Yes,Yes,2022,automatic,AAA,36mm,StainlessSteelandWhiteGold,SlateRomanNumeral,StainlessSteelJubilee,#004576,"MiltonKeynes,Buckinghamshire,UnitedKingdom",
1,34778.295999999995,Day-Date40,228238,Yes,Yes,2022,automatic,AA,40mm,YellowGold,WhiteBaton,YellowGoldPresident,#,"BishopsStortford,Herts,UnitedKingdom",
2,15978.142848,Sea-Dweller,126660,Yes,Yes,2017,automatic,AAA,43mm,StainlessSteel,Black,StainlessSteelOyster,#3724,"Leicester,Leicestershire,UnitedKingdom",
3,16243.948395999998,Yacht-Master40,126622,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteelandPlatinum,Slate,StainlessSteelOyster,#,"MiltonKeynes,Buckinghamshire,UnitedKingdom",
4,16450.6237,Submariner,126610LV,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004597,"Buckinghamshire,UnitedKingdom",
5,27212.794888999997,Yacht-Master42,226659,Yes,Yes,2022,automatic,AA,42mm,WhiteGold,Black,BlackOysterflex,#004596,"Bishop'sStortford,Herts,UnitedKingdom",
6,13320.4,Deepsea,116660,Yes,Yes,2015,automatic,AA,44mm,StainlessSteel,D-blue,StainlessSteelOyster,#004593,"Gelderland,Netherlands,Netherlands",
7,51949.337999999996,Day-Date40,228239,Yes,Yes,2022,automatic,AA,40mm,WhiteGold,MeteoritewithBaguette,WhiteGoldPresident,#004589,"London,UnitedKingdom",
8,28876.1655,Daytona,116515LN,Yes,Yes,2011,automatic,A,40mm,RoseGold,WhiteBaton,BlackAlligator,#004560,"London,UnitedKingdom",
9,13024.993799999998,Submariner,126610LN,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004584,"London,UnitedKingdom",
10,33176.871,Daytona,116509,Yes,Yes,2018,automatic,A,40mm,WhiteGold,BlackwithDiamonds,WhiteGoldOyster,#004582,"London,UnitedKingdom",
11,8702.824999999999,Submariner,16613,No,Yes,1991,automatic,A,40mm,StainlessSteelandYellowGold,Black,SteelandYellowGoldOyster,#004574,"Edinburgh,Scotland,UnitedKingdom",
12,10541.449999999999,Milgauss,116400GV,Yes,Yes,2018,automatic,AAA,40mm,StainlessSteel,Z-blue,StainlessSteelOyster,#004571,"Birmingham,WestMidlands,UnitedKingdom",
13,19260.78512,Submariner,126610LV,Yes,Yes,2021,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#3691,"Lausanne,Switzerland,Switzerland",
14,8196.518699999999,Milgauss,116400GV,Yes,Yes,2014,automatic,A,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004562,"TunbridgeWells,Kent,UnitedKingdom",
15,12861.93755,Sea-Dweller,126600,Yes,Yes,2020,automatic,A,43mm,StainlessSteel,Black,StainlessSteelOyster,#004351,"London,UnitedKingdom",
16,17372.75925,Submariner,126613LB,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteelandYellowGold,Blue,SteelandYellowGoldOyster,#004345,"Manchester,GreaterManchester,UnitedKingdom",
17,30059.140496,Daytona,116500LN,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004330,"London,UnitedKingdom",
18,29339.136,Yacht-Master,226658,Yes,Yes,2022,automatic,AAA,42mm,YellowGold,Black,BlackOysterFlex,#004322,"London,UnitedKingdom",
19,12176.119999999999,Datejust41,126300,Yes,Yes,2022,automatic,AA,41mm,StainlessSteel,MintGreen'Motif'Baton,StainlessSteelOyster,#,"London,UnitedKingdom",
20,9375.6124,DatejustII,116334,Yes,Yes,2010,automatic,AA,41mm,StainlessSteelAndWhiteGold,SilverDiamond,StainlessSteelOyster,#004317,"London,UnitedKingdom",
21,12480.523,Submariner,124060,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004321,"London,UnitedKingdom",
