,listing__statPrice,product_subtitle,Model,Box,Papers,Age,Movement,ConditionGrade,CaseSize,Case,Dial,Bracelet,LOT,Location,Seller
0,12224.64,Datejust41,126300,Yes,Yes,2022,automatic,AA,41mm,StainlessSteel,MintGreen'Motif'Baton,StainlessSteelOyster,#,"London,UnitedKingdom",
1,29339.136,Yacht-Master,226658,Yes,Yes,2022,automatic,AAA,42mm,YellowGold,Black,BlackOysterFlex,#004322,"London,UnitedKingdom",
2,9412.9728,DatejustII,116334,Yes,Yes,2010,automatic,AA,41mm,StainlessSteelAndWhiteGold,SilverDiamond,StainlessSteelOyster,#004317,"London,UnitedKingdom",
3,12530.256,Submariner,124060,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004321,"London,UnitedKingdom",
4,14879.21864,Sea-Dweller,126600,Yes,Yes,2021,automatic,AA,43mm,StainlessSteel,Black,StainlessSteelOyster,#3666,"Portsmouth,Hampshire,UnitedKingdom",
5,19177.389,GMT-MasterII,126711CHNR,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#004312,"London,UnitedKingdom",
6,7244.791399999999,Datejust41,126300,Yes,Yes,2021,automatic,A,41mm,StainlessSteel,SilverBaton,StainlessSteelOyster,#004309,"London,UnitedKingdom",
7,10958.508,Datejust36,126234,Yes,Yes,2022,automatic,AAA,36mm,StainlessSteelandWhiteGold,SlateRomanNumeral,StainlessSteelJubilee,#004307,"Harpenden,Hertfordshire,UnitedKingdom",
8,4797.0,Datejust,16030,Yes,Yes,1981,automatic,A,36mm,StainlessSteel,SilverBaton,StainlessSteelOyster,#004306,"Dundee,Scotland,UnitedKingdom",
9,13099.5,Datejust36,126231,Yes,Yes,2022,automatic,AAA,36mm,StainlessSteelandRoseGold,SlateRomanNumeral,SteelandRoseGoldJubileee,#004299,"London,UnitedKingdom",
10,10455.0,Milgauss,116400GV,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,Z-blue,StainlessSteelOyster,#004297,"London,UnitedKingdom",
11,6879.7736,OysterPerpetual41,124300,Yes,Yes,2021,automatic,A,41mm,StainlessSteel,BlueBaton,StainlessSteelOyster,#004293,"Banbury,Oxfordshire,UnitedKingdom",
12,34091.73525,Daytona,116519LN,Yes,Yes,2020,automatic,A,40mm,WhiteGold,SteelBaton,BlackOysterflex,#004291,"London,UnitedKingdom",
13,10196.8073,Submariner,5513,Yes,No,1979,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#004290,"London,UnitedKingdom",
14,8750.0,ExplorerII,216570,Yes,Yes,2019,automatic,A,42mm,StainlessSteel,White,StainlessSteelOyster,#,"WarrenCounty,Ohio,USA",
15,4850.0,OysterPerpetual36,116000,Yes,Yes,2019,automatic,A,36mm,StainlessSteel,PurpleBaton,StainlessSteelOyster,#,"WarrensCounty,Ohio,USA",
16,18065.800000000003,Sky-Dweller,326933,Yes,Yes,2022,automatic,AAA,42mm,StainlessSteelandYellowGold,BlackBaton,SteelandYellowGoldOyster,#004284,"London,UnitedKingdom",
17,20515.4,GMT-Master,1675,Yes,Yes,1973,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#004281,"Dundee,Scotland,UnitedKingdom",
18,35519.200000000004,Day-Date40,228239,Yes,Yes,2021,automatic,AAA,40mm,WhiteGold,SlateBaton,WhiteGoldPresident,#3621,"London,UnitedKingdom",
19,10761.048,Submariner,116610LN,Yes,Yes,2015,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#,"Leeds,Yorkshire,UnitedKingdom",
20,35870.16,Daytona,116515LN,Yes,Yes,2022,automatic,AAA,40mm,RoseGold,BlackwithDiamond,BlackOysterflex,#004266,"Birmingham,WestMidlands,UnitedKingdom",
21,17935.08,Submariner,126613LB,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteelandYellowGold,Blue,SteelandYellowGoldOyster,#004259,"London,UnitedKingdom",
22,9391.4639,OysterPerpetual,114300,Yes,Yes,2020,automatic,AA,39mm,StainlessSteel,WhiteBaton,StainlessSteelOyster,#,"Budapest,Hungary",
23,29076.74425,Daytona,116500LN,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004254,"Cardiff,Wales,UnitedKingdom",
24,14388.492,Submariner,126610LN,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004252,"London,UnitedKingdom",
25,4153.688,Oysterquartz,17000,Yes,No,1980,quartz,A,36mm,StainlessSteel,SilverBaton,StainlessSteel,#004245,"Paris,France,France",
26,13843.079,Day-Date,118238,No,No,2000's,automatic,A,36mm,YellowGold,Champagne,YellowGoldOyster,#004238,"London,UnitedKingdom",
27,10640.08,ExplorerII,216570,Yes,Yes,2020,automatic,A,42mm,StainlessSteel,White,StainlessSteelOyster,#,"London,UnitedKingdom",
28,9793.710000000001,Deepsea,116660,Yes,Yes,2010,automatic,A,44mm,StainlessSteel,Black,StainlessSteelOyster,#004233,"London,UnitedKingdom",
29,12091.0,Submariner,124060,Yes,Yes,2021,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004230,"London,UnitedKingdom",
30,18136.5,GMT-MasterII,126711CHNR,Yes,Yes,2019,automatic,AAA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#004227,"London,UnitedKingdom",
31,7214.63925,OysterPerpetual41,124300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,SilverBaton,StainlessSteelOyster,#004211,"Lausanne,Switzerland,Switzerland",
32,15758.58416,Datejust41,126334,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteelandWhiteGold,MintGreenBaton,StainlessSteelOyster,#004222,"London,UnitedKingdom",
33,43680.946465,Daytona,116519,Yes,Yes,2006,automatic,A,40mm,WhiteGold,PinkRomanNumeral,PinkAlligator,#004217,"London,UnitedKingdom",
34,5444.8425,Datejust,16013,Yes,Yes,1987,automatic,AA,36mm,Steel/YellowGold,Champagne,Steel/YellowGoldJubilee,#004214,"Southport,Merseyside,UnitedKingdom",
35,16637.01875,Daytona,116523,Yes,Yes,2013,automatic,A,40mm,StainlessSteelandYellowGold,BlackwithDiamond,SteelandYellowGoldOyster,#004206,"Sheffield,UnitedKingdom",
36,25711.75625,Yacht-Master42,226659,Yes,Yes,2020,automatic,AA,42mm,WhiteGold,Black,BlackRubber,#004197,"London,UnitedKingdom",
37,30314.05,Daytona,16520,Yes,Yes,1999,automatic,A,40mm,StainlessSteel,WhiteBaton,StainlessSteelOyster,#004212,"London,UnitedKingdom",
38,18491.570499999998,GMT-MasterII,126710BLRO,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,Black,StainlessSteelJubilee,#004210,"HenleyonThames,Oxfordshire,UnitedKingdom",
39,13338.181999999999,Sea-Dweller,126600,Yes,Yes,2020,automatic,AAA,43mm,StainlessSteel,Black,StainlessSteelOyster,#004209,"London,UnitedKingdom",
40,18310.898761999997,Sky-Dweller,326933,Yes,Yes,2020,automatic,AAA,42mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowGoldOyster,#004208,"London,UnitedKingdom",
41,9821.752199999999,Day-Date,18038,No,No,1979,automatic,A,36mm,YellowGold,ChampagneBaton,YellowGoldPresident,#004207,"Sheffield,UnitedKingdom",
42,27088.515000000003,Daytona,116500LN,Yes,Yes,2021,automatic,AA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004200,"Comber,NorthernIreland,UnitedKingdom",
43,8848.9149,ExplorerII,216570,Yes,Yes,2018,automatic,A,42mm,StainlessSteel,Black,StainlessSteelOyster,#004195,"Bedfordshire,UnitedKingdom",
